Figure Name,Figure Filename,Full Saved Path,Source Table,Purpose,Figure Path,File Exists,File Size KB
Forecast-Candidate Prediction by Stage and Sex,forecast_candidate_by_stage_sex.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/forecast_candidate_by_stage_sex.png,forecast_candidate_predictions_df,Shows forecast-preview predictions by stage and sex without claiming evaluation.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/forecast_candidate_by_stage_sex.png,True,56.25
Forecast-Candidate Predicted Completion Distribution,forecast_candidate_prediction_distribution.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/forecast_candidate_prediction_distribution.png,forecast_candidate_predictions_df,Shows the non-evaluable forecast-candidate prediction distribution.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/forecast_candidate_prediction_distribution.png,True,32.13
Household Ratio versus Completion Gap,household_ratio_vs_completion_gap.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/household_ratio_vs_completion_gap.png,supervised_modelling_panel_df,Shows the relationship between household context and completion benchmark gap.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/household_ratio_vs_completion_gap.png,True,103.08
Main Sex-Specific Rows versus Both-Only Branch,main_vs_both_target_comparison.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/main_vs_both_target_comparison.png,main_target_panel_df; both_only_target_panel_df,Shows why the aggregate branch is tracked separately from the main supervised rows.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/main_vs_both_target_comparison.png,True,33.7
Missing-Value Percentage by Dataset and Column,missing_value_summary_heatmap.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/missing_value_summary_heatmap.png,missing_values_audit_df,Shows missing-value concentration before modelling decisions are made.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/missing_value_summary_heatmap.png,True,102.76
Model Rank by Metric,model_rank_by_metric.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/model_rank_by_metric.png,expanded_model_comparison_metrics_df,Shows rank consistency across core comparison metrics.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/model_rank_by_metric.png,True,87.4
Tolerance Coverage by Model,model_tolerance_coverage_comparison.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/model_tolerance_coverage_comparison.png,expanded_error_diagnostics_by_model.csv,"Compares practical prediction tolerance across SVR, baselines, and Ridge.",/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/model_tolerance_coverage_comparison.png,True,80.24
Modelling Panel Row Flow,modelling_panel_row_flow.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/modelling_panel_row_flow.png,main_target_panel_df; supervised_rows_df; train/test panels,Shows how rows flow from target preparation into supervised training and evaluation.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/modelling_panel_row_flow.png,True,35.21
Permutation Importance,permutation_importance.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/permutation_importance.png,permutation_importance_df,Post-evaluation diagnostic of selected calibrated SVR feature influence,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/permutation_importance.png,True,106.18
Permutation Importance by Feature Group,permutation_importance_grouped_by_feature_source.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/permutation_importance_grouped_by_feature_source.png,feature_group_importance_summary.csv,Summarises diagnostic feature influence by source group.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/permutation_importance_grouped_by_feature_source.png,True,40.07
Top Held-Out Prediction Errors,prediction_error_lollipop_top_errors.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/prediction_error_lollipop_top_errors.png,test_predictions_df,Shows the largest held-out prediction errors in a readable ranked plot.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/prediction_error_lollipop_top_errors.png,True,119.96
Raw Dataset Row Counts,raw_dataset_row_count_bar.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/raw_dataset_row_count_bar.png,raw_dataset_inventory_df,Shows the size of each raw source dataset before preprocessing.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/raw_dataset_row_count_bar.png,True,62.27
Raw Dataset Year Coverage,raw_dataset_year_coverage_timeline.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/raw_dataset_year_coverage_timeline.png,raw_coverage_audit_df,Shows which datasets have annual coverage and which sources are longer or sparse.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/raw_dataset_year_coverage_timeline.png,True,57.78
"Representative Prediction: Current, Predicted, and Actual",representative_prediction_actual_vs_predicted.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/representative_prediction_actual_vs_predicted.png,final_ai_demonstrator_df,Shows one representative held-out prediction case.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/representative_prediction_actual_vs_predicted.png,True,40.54
Representative Prediction Residual Breakdown,representative_prediction_waterfall.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/representative_prediction_waterfall.png,final_ai_demonstrator_df,Shows how the residual connects predicted and actual completion for the representative row.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/representative_prediction_waterfall.png,True,28.06
Residual Distribution,residual_distribution.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/residual_distribution.png,test_predictions_df,Review held-out residual spread and direction,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/residual_distribution.png,True,27.23
Mean Residual by Actual Completion Band,residuals_by_actual_completion_band.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/residuals_by_actual_completion_band.png,residuals_by_actual_completion_band.csv,Shows whether residual bias changes across actual completion-rate bands.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/residuals_by_actual_completion_band.png,True,31.06
Residuals vs Predicted,residuals_vs_predicted.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/residuals_vs_predicted.png,test_predictions_df,Check whether residuals vary with calibrated predicted values,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/residuals_vs_predicted.png,True,48.04
Ridge Validation Error by Alpha,ridge_validation_alpha_comparison.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/ridge_validation_alpha_comparison.png,ridge_validation_summary_df,Shows how the linear benchmark changes across regularisation strengths.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/ridge_validation_alpha_comparison.png,True,45.76
Rolling Two-Year Gap Mean versus Next-Year Target,rolling_gap_vs_target_scatter.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/rolling_gap_vs_target_scatter.png,autoregressive_feature_panel_df,Shows why rolling benchmark-gap history is useful as a predictor.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/rolling_gap_vs_target_scatter.png,True,83.58
Main Modelling Row Count by Stage and Sex,row_unit_count_by_stage_sex.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/row_unit_count_by_stage_sex.png,main_target_panel_df,Shows that the main row unit keeps male and female rows by stage.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/row_unit_count_by_stage_sex.png,True,39.31
Latest School-Age Population Share by State,school_age_population_share_by_state.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/school_age_population_share_by_state.png,population_features_df,Shows compact demographic pressure by state.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/school_age_population_share_by_state.png,True,57.33
Selected-State Observed Completion Trends,selected_state_completion_trend_grid.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/selected_state_completion_trend_grid.png,completion_rate_trend_source_df,Shows state-specific observed completion-rate trends before modelling.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/selected_state_completion_trend_grid.png,True,157.91
Selected SVR Candidate Among Top Validation Candidates,selected_svr_vs_top_candidates.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/selected_svr_vs_top_candidates.png,selected_svr_vs_top_candidates.csv,Shows where the selected SVR candidate sits among the top validation candidates.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/selected_svr_vs_top_candidates.png,True,88.23
Absolute Error Distribution by Sex,sex_error_distribution_boxplot.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/sex_error_distribution_boxplot.png,test_predictions_df,Shows the spread of row-level errors by sex.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/sex_error_distribution_boxplot.png,True,24.95
Sex-Level MAE and RMSE,sex_mae_rmse_comparison.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/sex_mae_rmse_comparison.png,error_by_sex_df,Compares errors across male and female rows.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/sex_mae_rmse_comparison.png,True,19.01
Sex-Stage MAE Heatmap,sex_stage_mae_heatmap.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/sex_stage_mae_heatmap.png,error_by_state_stage_sex_df,Shows grouped prediction error at the row-unit level.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/sex_stage_mae_heatmap.png,True,44.02
Absolute Error Distribution by Stage,stage_error_distribution_boxplot.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/stage_error_distribution_boxplot.png,test_predictions_df,Shows the spread of row-level errors by education stage.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/stage_error_distribution_boxplot.png,True,30.1
Stage-Level MAE and RMSE,stage_mae_rmse_comparison.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/stage_mae_rmse_comparison.png,error_by_stage_df,Compares errors across education stages.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/stage_mae_rmse_comparison.png,True,27.75
Current Completion Gap from Malaysia Distribution,state_gap_from_malaysia_distribution.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/state_gap_from_malaysia_distribution.png,completion_target_panel_df,Shows how state completion rates are distributed relative to the national benchmark.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/state_gap_from_malaysia_distribution.png,True,34.04
State-Level MAE Ranking,state_mae_ranked_bar.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/state_mae_ranked_bar.png,error_by_state_df,Shows state-level MAE differences.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/state_mae_ranked_bar.png,True,65.66
State-Level RMSE Ranking,state_rmse_ranked_bar.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/state_rmse_ranked_bar.png,error_by_state_df,Shows state-level RMSE differences.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/state_rmse_ranked_bar.png,True,50.96
State-Sex MAE Heatmap,state_sex_mae_heatmap.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/state_sex_mae_heatmap.png,error_by_state_stage_sex_df,Shows grouped prediction error at the row-unit level.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/state_sex_mae_heatmap.png,True,81.08
State-Stage MAE Heatmap,state_stage_mae_heatmap.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/state_stage_mae_heatmap.png,error_by_state_stage_sex_df,Shows grouped prediction error at the row-unit level.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/state_stage_mae_heatmap.png,True,106.49
State-Stage RMSE Heatmap,state_stage_rmse_heatmap.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/state_stage_rmse_heatmap.png,error_by_state_stage_sex_df,Shows grouped prediction error at the row-unit level.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/state_stage_rmse_heatmap.png,True,106.48
State-Level Within ±2pp Coverage,state_within_2pp_rate_bar.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/state_within_2pp_rate_bar.png,error_by_state_df,Shows state-level Within 2 Percentage Points differences.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/state_within_2pp_rate_bar.png,True,76.95
Students per School by Stage,students_per_school_by_stage.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/students_per_school_by_stage.png,education_features_df,Shows education-capacity feature trends by target stage.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/students_per_school_by_stage.png,True,56.56
Students per Teacher by Stage,students_per_teacher_by_stage.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/students_per_teacher_by_stage.png,education_features_df,Shows education-capacity feature trends by target stage.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/students_per_teacher_by_stage.png,True,66.35
SVR Absolute Error Distribution,svr_absolute_error_distribution.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/svr_absolute_error_distribution.png,test_predictions_df,Shows the spread of held-out SVR absolute errors.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/svr_absolute_error_distribution.png,True,25.78
SVR Candidate Grid Summary,svr_candidate_grid_summary.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/svr_candidate_grid_summary.png,svr_candidate_registry_df,Shows the scale of the SVR hyperparameter search.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/svr_candidate_grid_summary.png,True,28.44
SVR Fold Metric Variability,svr_fold_metric_variability.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/svr_fold_metric_variability.png,svr_validation_results_df,Shows how validation error changes across chronological folds.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/svr_fold_metric_variability.png,True,38.2
SVR Improvement over Compared Methods,svr_improvement_over_baselines.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/svr_improvement_over_baselines.png,expanded_baseline_vs_svr_delta_df,Shows how much SVR improves over each baseline and Ridge benchmark.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/svr_improvement_over_baselines.png,True,83.73
SVR Held-Out Error Summary,svr_metric_card_summary.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/svr_metric_card_summary.png,svr_metric_card_summary.csv,Summarises held-out SVR error metrics in percentage-point terms.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/svr_metric_card_summary.png,True,37.16
SVR Practical Error Tolerance Coverage,svr_tolerance_coverage.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/svr_tolerance_coverage.png,svr_tolerance_summary.csv,Shows how often SVR predictions fall within practical percentage-point bands.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/svr_tolerance_coverage.png,True,34.58
Top SVR Candidates by Validation MAE,svr_top_candidate_validation_mae.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/svr_top_candidate_validation_mae.png,svr_validation_summary_df,Shows that final SVR selection comes from ranked validation evidence.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/svr_top_candidate_validation_mae.png,True,84.27
Best SVR Validation MAE by Feature Set,svr_validation_mae_by_feature_set.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/svr_validation_mae_by_feature_set.png,svr_validation_summary_df,Shows feature-set performance during chronological validation.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/svr_validation_mae_by_feature_set.png,True,48.67
Best SVR Validation R² by Feature Set,svr_validation_r2_by_feature_set.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/svr_validation_r2_by_feature_set.png,svr_validation_summary_df,Shows feature-set performance during chronological validation.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/svr_validation_r2_by_feature_set.png,True,50.17
Best SVR Validation RMSE by Feature Set,svr_validation_rmse_by_feature_set.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/svr_validation_rmse_by_feature_set.png,svr_validation_summary_df,Shows feature-set performance during chronological validation.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/svr_validation_rmse_by_feature_set.png,True,50.11
Next-Year Completion Rate by Sex,target_by_sex_boxplot.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/target_by_sex_boxplot.png,completion_target_panel_df filtered to male/female rows,Shows target variation between male and female rows.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/target_by_sex_boxplot.png,True,41.08
Next-Year Completion Rate by Stage,target_by_stage_boxplot.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/target_by_stage_boxplot.png,completion_target_panel_df filtered to male/female rows,Shows target variation across education stages.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/target_by_stage_boxplot.png,True,46.43
Next-Year Completion-Rate Target Distribution,target_distribution_histogram.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/target_distribution_histogram.png,completion_target_panel_df filtered to male/female rows,Shows the range and concentration of the numeric regression target.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/target_distribution_histogram.png,True,34.46
Held-Out Actual and Predicted Distribution,test_prediction_distribution.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/test_prediction_distribution.png,test_predictions_df,Compares actual and predicted target distributions on the held-out test set.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/test_prediction_distribution.png,True,33.12
"Train, Test, and Forecast-Candidate Row Counts",train_test_forecast_row_count_bar.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/train_test_forecast_row_count_bar.png,train_panel_df; test_panel_df; forecast_candidate_panel_df,"Shows the supervised row allocation used for fitting, final evaluation, and forecast preview.",/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/train_test_forecast_row_count_bar.png,True,30.79
SVR Underprediction and Overprediction Balance,underprediction_overprediction_bar.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/underprediction_overprediction_bar.png,svr_residual_direction_summary.csv,Shows the direction of SVR prediction bias.,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/underprediction_overprediction_bar.png,True,36.02
Worst Prediction Errors,worst_prediction_errors.png,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/worst_prediction_errors.png,worst_prediction_rows_df,Show held-out rows with the largest absolute errors,/content/drive/MyDrive/COS40007_Project/alex/outputs/figures/worst_prediction_errors.png,True,144.71
